Pakistani University,UK University
Mohammad Ali Jinnah University,DMU
National College of Arts,DMU
National Textile University Faisalabad,DMU
National University of Modern Languages,DMU
NED University of Engineering and Technology,DMU
NFC Institute of Engineering and Technology,DMU
PMAS Arid Agriculture University Rawalpindi,DMU
Quid E Azam University,DMU
Qurtaba University of Science and Information Technology,DMU
Riphah University (All campuses),DMU
"Roots Ivy International College, accredited by the University of London",DMU
(external),DMU
Sarhad University of Science and Information Technology,DMU
Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,DMU
Sir Syed University of Engineering and Technology,DMU
Superior University,DMU
Uni of Gujrat,DMU
Universal College Lahore (University of London),DMU
"University of Agriculture (Faisalabad, Peshawar, Multan, Gujrat)",DMU
University of Azad Jammu & Kashmir,DMU
University of Central Punjab,DMU
University of Central Punjab,BPP
University of Education,DMU
University of Engineering and Technology (All UET's across Pakistan),DMU
University of Kotli Azad Kashmir,DMU
University of Management & Technology,DMU
University of Poonch Azad Kashmir,DMU
University of Sargodha,DMU
University of Sargodha,BPP
University of the Punjab,UH
University of the Punjab,DMU
University of the Punjab,BPP
"Aga Khan University, Karachi",BCU
"Air University, Islamabad",BCU
"Bahauddin Zakariya University, Multan",Bolton
"Bahauddin Zakariya University, Multan",BCU
"Bahria University, Islamabad, Lahore and Karachi Campus",BCU
Pakistan Institute of Fashion Design (PIFD),BCU
Beaconhouse National University BNU,BCU
"COMSATS University, Lahore, Islamabad and Kararchi Campus",BCU
"Forman Christian College, Lahore",BCU
"Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, Topi-Swabi",BCU
"Government College University, Faisalabad",BCU
"Government College University, Lahore",UH
"Government College University, Lahore",BCU
"Greenwich University, Karachi",UH
"Greenwich University, Karachi",BCU
"Indus Valley School of Art and Architecture, Karachi",BCU
"Institute of Business Administration (IBA), Karachi",BCU
"Institute of Business Management, Karachi",UH
"Institute of Business Management, Karachi",BCU
"Institute of Management Sciences (IMS), Peshawar",BCU
"Institute of Space Technology, Islamabad",BCU
"Iqra University, Karachi",BCU
"Islamia University, Bahawalpur",Bolton
"Islamia University, Bahawalpur",BCU
University College Lahore (UCL London External Programme),BCU
Lahore Grammar University UCL London External Programme,BCU
"Lahore School of Economics, Lahore",UH
